country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,GDP,HDI,people_fully_vaccinated
Barbados,North America,76261,433,71497,4331,,264768,1503,669421,2324136,288030,4843800000.00 ,0.79,155028
Belarus,Europe,982867,6978,,,,104078,739,13220483,1399951,9443535,68205380706.66 ,0.808,#N/A
Belgium,Europe,4116397,31613,3941350,143434,117,352324,2706,33846023,2896893,11683561,594104177539.53 ,0.937,9168527
Belize,North America,57896,676,56761,459,6,140843,1644,549217,1336070,411069,2491500000.00 ,0.683,221394
Benin,Africa,26952,163,25506,1283,5,2120,13,604310,47530,12714341,17144918952.47 ,0.525,#N/A
Bermuda,North America,14135,135,13664,336,,228537,2183,893980,14454002,61850,7286607000.00 ,#N/A,#N/A
Bhutan,Asia,59570,21,59491,58,,75651,27,2303690,2925573,787432,2539552984.68 ,0.666,#N/A
Bolivia,South America,906146,21943,863665,20538,220,75704,1833,2705422,226025,11969554,40408208528.16 ,#N/A,#N/A
Bosnia And Herzegovina,Europe,377511,15778,,,,116414,4866,1767199,544957,3242823,23365361635.22 ,0.78,#N/A
Botswana,Africa,306324,2690,303026,608,1,125541,1102,2026898,830683,2440037,17614791265.68 ,0.693,1653954
Brazil,South America,30682094,664920,29718402,298772,8318,142460,3087,63776166,296119,215373503,1608981456325.08 ,0.754,176164186
British Virgin Islands,North America,6573,62,,,1,214762,2026,103637,3386166,30606,0.00 ,#N/A,#N/A
Brunei Darussalam,Asia,144659,220,142788,1651,,324871,494,717784,1611980,445281,14006569575.68 ,0.829,#N/A
Bulgaria,Europe,1161504,37045,1014302,110157,54,169536,5407,9924259,1448573,6851060,84056312734.31 ,0.795,2076778
Burkina Faso,Africa,20853,382,20439,32,,949,17,248995,11333,21970296,19737615114.37 ,0.449,4129254
Burundi,Africa,41235,38,,,,3286,3,345742,27549,12549999,2779813489.02 ,0.426,33734
Cabo Verde,Africa,56105,401,55613,91,23,98910,707,400982,706908,567234,1936174043.45 ,0.662,#N/A
Cambodia,Asia,136262,3056,133194,12,,7945,178,2961934,172709,17149867,26961061119.80 ,0.593,14652519
Cameroon,Africa,119780,1927,117791,62,13,4312,69,1751774,63068,27776053,45338283344.82 ,0.576,3073226
Canada,North America,3821346,40228,3499564,281554,423,99622,1049,61436458,1601640,38358465,1988336331717.42 ,0.936,#N/A
Caribbean Netherlands,North America,9915,35,9829,51,,371668,1312,30126,1129287,26677,#N/A,#N/A,#N/A
Cayman Islands,North America,23578,28,8553,14997,1,351077,417,222773,3317098,67159,5898449687.98 ,#N/A,60659
Central African Republic,Africa,14649,113,6859,7677,2,2938,23,81294,16304,4986136,2516498299.01 ,0.404,2266531
Chad,Africa,7414,193,4874,2347,,428,11,191341,11058,17303260,11779980801.78 ,0.394,6127422
Channel Islands,Europe,75275,173,74574,528,,425648,978,1252808,7084095,176848,0.00 ,#N/A,#N/A
Chile,South America,3605522,57722,3468131,79669,159,185643,2972,37693651,1940790,19421812,317058508651.76 ,0.855,#N/A
China Hong Kong Sar,Asia,1208506,9361,,,5,158800,1230,44972952,5909516,7610260,#N/A,#N/A,#N/A
China Macao Sar,Asia,82,,82,0,,123,,5375,8073,665819,#N/A,#N/A,#N/A
China,Asia,221804,5209,210454,6141,383,154,4,160000000,111163,1439323776,17734062645371.40 ,0.768,#N/A
Colombia,South America,6095316,139821,5928829,26666,342,117459,2694,34675581,668214,51892950,314464137241.33 ,0.752,36963551
Comoros,Africa,8100,160,7933,7,,8959,177,,,904091,1296089632.60 ,0.558,#N/A
Congo,Africa,24079,385,20178,3516,,4172,67,347815,60270,5770949,#N/A,0.571,#N/A
Cook Islands,Australia/Oceania,5410,1,5291,118,,307491,57,17469,992895,17594,#N/A,#N/A,#N/A
Costa Rica,North America,866164,8444,841683,16037,48,167189,1630,4401922,849668,5180753,64282438666.74 ,0.809,4341182
Cote D Ivoire,Africa,81989,799,81168,22,,2971,29,1509861,54716,27594347,#N/A,#N/A,#N/A
Croatia,Europe,1131450,15930,1111405,4115,15,278811,3925,4838151,1192212,4058130,68955083280.19 ,0.858,2321402
Cuba,North America,1104589,8529,1095534,526,23,97633,754,12920253,1141997,11313741,0.00 ,0.764,10011196
Curacao,North America,43017,275,42203,539,3,260168,1663,496693,3004016,165343,2699612458.10 ,#N/A,#N/A
Cyprus,Asia,477711,1032,124370,352309,60,390374,843,9477138,7744481,1223728,28407867534.00 ,0.896,#N/A
Czech Republic,Europe,3915847,40245,3871654,3948,14,364401,3745,55323981,5148342,10745981,#N/A,#N/A,#N/A
Democratic Republic Of The Congo,Africa,87023,1337,50930,34756,,920,14,846704,8948,94629737,#N/A,#N/A,#N/A
Denmark,Europe,2976667,6287,2960386,9994,12,510561,1078,127345763,21842472,5830190,398303272764.46 ,0.948,4746322
Djibouti,Africa,15631,189,15427,15,,15404,186,305941,301492,1014756,3482987379.09 ,0.509,349268
Dominica,North America,12685,63,12323,299,,175403,871,194894,2694921,72319,554181481.48 ,0.72,#N/A
Dominican Republic,North America,580412,4376,575583,453,1,52524,396,3305829,299156,11050510,94243453937.45 ,0.767,6088554
Ecuador,South America,872268,35607,,,759,48080,1963,2470170,136158,18141962,106165866000.00 ,0.74,14240587
Egypt,Africa,515645,24613,442182,48850,122,4868,232,3693367,34867,105928386,#N/A,0.731,41958052
El Salvador,North America,162089,4129,150662,7298,8,24757,631,1950448,297908,6547158,28736940000.00 ,0.675,#N/A
Equatorial Guinea,Africa,15910,183,15701,26,5,10687,123,317211,213068,1488778,12269392839.75 ,0.596,#N/A
Eritrea,Africa,9745,103,9632,10,,2679,28,23693,6513,3637828,0.00 ,0.492,#N/A
Estonia,Europe,573922,2556,514836,56530,3,432106,1924,3345340,2518710,1328196,37191166151.98 ,0.89,861574
Ethiopia,Africa,470937,7510,455757,7670,8,3916,62,4836364,40214,120265111,111271112329.98 ,0.498,37465340
Faeroe Islands,Europe,34658,28,7693,26937,5,704302,569,778000,15810116,49209,#N/A,#N/A,#N/A
Falkland Islands Malvinas,South America,1126,,,,,306896,,8632,2352685,3669,#N/A,#N/A,#N/A
Fiji,Australia/Oceania,64773,862,62875,1036,,71293,949,517703,569817,908543,4296304590.01 ,0.73,641174
Finland,Europe,1069740,4284,,,21,192512,771,10832080,1949355,5556750,297301883523.25 ,0.94,0
France,Europe,29160802,147257,28156674,856871,1329,444914,2247,271490188,4142201,65542502,2957879759263.52 ,0.903,53180008
French Guiana,South America,81784,397,11254,70133,1,261212,1268,631628,2017375,313094,#N/A,#N/A,#N/A
French Polynesia,Australia/Oceania,72821,649,,,7,256473,2286,,,283932,6054676735.38 ,#N/A,#N/A
Gabon,Africa,47608,304,47297,7,,20490,131,1594523,686256,2323511,20216843173.97 ,0.706,#N/A
Gambia,Africa,11999,365,11591,43,,4718,144,155686,61220,2543054,#N/A,0.5,539186
Georgia,Asia,1655221,16811,1637293,1117,,416417,4229,16920079,4256722,3974908,18629365597.00 ,0.802,#N/A
Germany,Europe,25780226,137919,23956700,1685607,1279,305877,1636,122332384,1451450,84282880,4259934911821.64 ,0.942,63563407
Ghana,Africa,161280,1445,159788,47,1,4996,45,2442206,75655,32280617,77594279054.88 ,0.632,10170298
Gibraltar,Europe,18129,102,16579,1448,,538400,3029,534283,15867278,33672,0.00 ,#N/A,#N/A
Greece,Europe,3392575,29547,3306014,57014,176,328475,2861,81233888,7865209,10328255,214873879833.65 ,0.887,7645082
Greenland,North America,11971,21,2761,9189,4,210191,369,164926,2895826,56953,0.00 ,#N/A,#N/A
Grenada,North America,16344,221,14634,1489,4,144008,1947,157363,1386531,113494,1122807407.41 ,0.795,39034
Guadeloupe,North America,140130,854,2250,137026,19,350105,2134,938039,2343627,400251,#N/A,#N/A,#N/A
Guatemala,North America,851877,17792,831794,2291,5,45966,960,4543522,245163,18532670,85985752107.47 ,0.627,7115784
Guinea Bissau,Africa,8222,171,8010,41,6,4002,83,136655,66512,2054599,#N/A,#N/A,#N/A
Guinea,Africa,36597,442,36113,42,8,2653,32,660107,47848,13795931,16091817842.23 ,0.465,4725982
Guyana,South America,63804,1228,62301,275,,80396,1547,610906,769770,793621,8044498800.96 ,0.714,#N/A
Haiti,North America,30713,835,29605,273,,2634,72,132422,11356,11661401,20944392615.08 ,0.535,292401
Holy See,Europe,29,,29,0,,36025,,,,805,#N/A,#N/A,#N/A
Honduras,North America,424390,10896,132358,281136,105,41615,1068,1365056,133856,10197959,28488668301.64 ,0.621,5846031
Hungary,Europe,1909948,46343,1821435,42170,29,198649,4820,11394556,1185122,9614673,181848022233.89 ,0.846,#N/A
Iceland,Europe,186545,120,,,,540134,347,2264004,6555338,345368,25602419210.34 ,0.959,#N/A
India,Asia,43121599,524214,42579693,17692,698,30686,373,843836914,600479,1405273033,3176295065497.24 ,0.633,951963793
Indonesia,Asia,6050776,156458,5889534,4784,2771,21694,561,97245391,348662,278910317,1186092991320.04 ,0.705,#N/A
Iran,Asia,7228051,141224,7020835,65992,737,84052,1642,51771715,602031,85995095,#N/A,#N/A,#N/A
Iraq,Asia,2326458,25216,2299985,1257,10,55520,602,18529376,442197,41902979,207889333724.14 ,0.686,#N/A
Ireland,Europe,1535451,7203,1499879,28369,28,304622,1429,12144747,2409429,5040509,504182603275.54 ,0.945,4061875
Isle Of Man,Europe,28416,105,26794,1517,,330915,1223,150753,1755575,85871,0.00 ,#N/A,#N/A
Israel,Asia,4106793,10749,4081150,14894,150,440360,1153,41373364,4436346,9326000,488526545878.89 ,0.919,6159588
Italy,Europe,17057873,165244,15894511,998118,347,282901,2741,217853667,3613054,60296265,2107702842669.73 ,0.895,47972619
Jamaica,North America,131980,2995,84883,44102,,44211,1003,1031235,345445,2985238,14657586937.07 ,0.709,755392
Japan,Asia,8338211,30039,7951587,356585,139,66305,239,50444181,401129,125755488,4940877780755.33 ,0.925,103365576
Jordan,Asia,1694216,14048,1678941,1227,124,163034,1352,16670254,1604177,10391780,45744271658.91 ,0.72,#N/A
Kazakhstan,Asia,1305636,13661,1291669,306,24,68020,712,11575012,603023,19194987,197112255360.61 ,0.811,#N/A
Kenya,Africa,324026,5649,318142,235,,5789,101,3630986,64866,55976553,110347079517.36 ,0.575,11090440
Kiribati,Australia/Oceania,3093,13,2602,478,3,25175,106,,,122862,207031250.00 ,0.624,#N/A
Kuwait,Asia,632074,2555,629114,405,3,144040,582,8071763,1839430,4388186,0.00 ,0.831,3345262
Kyrgyzstan,Asia,200993,2991,196406,1596,131,29889,445,1907195,283613,6724638,#N/A,0.692,1376654
Laos,Asia,209386,754,,,,28022,101,1232128,164896,7472169,#N/A,#N/A,#N/A
Latvia,Europe,825699,5798,816253,3648,6,446957,3139,7217715,3907005,1847378,39853501579.82 ,0.863,#N/A
Lebanon,Asia,1097956,10407,1084853,2696,186,162215,1538,4795578,708511,6768532,23131940280.73 ,0.706,#N/A
Lesotho,Africa,32910,697,24155,8058,,15139,321,431221,198365,2173878,2496134680.32 ,0.514,938088
Liberia,Africa,7451,294,5747,1410,2,1411,56,139824,26487,5278999,3509000000.00 ,0.481,#N/A
