country,continent,total_confirmed,total_deaths,total_recovered,active_cases,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,GDP,people_fully_vaccinated,HDI
Afghanistan,Asia,179267,769,16222,93.75,442,19,95.1337,23455,4.56636,14.78686164,138.15117,48
Albania,Europe,275574,3497,271826,2.51,95954,1218,18.1753,632857,28.71945,18.25578748,12.76432,80
Algeria,Africa,265816,6875,178371,8.57,5865,152,2.3861,593,453.25517,0.000000163,152.05854,75
Andorra,Europe,42156,153,4121,9.82,543983,1974,24.9838,3223924,0.77495,0.333281524,0.54085,86
Angola,Africa,99194,19,97149,1.45,2853,55,149.9795,43136,347.69277,0.674428726,8.65468,59
Anguilla,North America,2984,9,2916,0.59,195646,59,5.1382,336887,0.15252,0.000019216,0.00138,86.5
Antigua And Barbuda,North America,7721,137,7511,0.73,77646,1378,0.1891,1976,0.99439,1.471125926,1.25877,79
Argentina,South America,911319,128729,8895999,765.91,197992,28,357.1669,776974,459.68174,0.000000487,34.86693,84
Armenia,Asia,422896,8623,41248,22.25,142219,29,36.8217,131834,29.73558,1.386149969,9.86762,76
Aruba,North America,35693,213,35199,2.81,331689,1979,17.7885,165353,0.01761,0.312619399,0.84212,90.8
Australia,Australia/Oceania,6593795,7794,6199822,3861.79,253112,299,788.5598,272142,2.65899,0.000000155,577.56454,95
Austria,Europe,4212492,1833,4135885,58.34,46284,211,185.3495,232881,0.91216,0.000000484,66.82331,92
Azerbaijan,Asia,792638,979,782869,0.06,76885,942,683.8458,663324,1.39383,54.62217647,137.28289,75
Bahamas,North America,33871,81,32488,5.82,84626,21,23.3473,58333,0.04242,3.88687E-05,3.40866,81
Bahrain,Asia,576997,1479,569758,5.76,318491,816,977.5981,5396149,18.11659,3.886866332,34.49026,88
Bangladesh,Asia,195312,29127,1899419,244.66,11643,174,145.1455,83767,1677.45162,0.000000416,139.73717,66
Barbados,North America,76261,433,71497,43.31,264768,153,66.9421,2324136,0.02883,0.000048438,0.15528,79
Belarus,Europe,982867,6978,,0,1478,739,132.2483,1399951,94.43535,0.068253877,130.54679,81
Belgium,Europe,4116397,31613,394135,1434.34,352324,276,338.4623,2896893,116.83561,0.000000594,91.68527,94
Belize,North America,57896,676,56761,4.59,14843,1644,54.9217,13367,0.41169,0.000024915,2.21394,68
Benin,Africa,26952,163,2556,12.83,212,13,0.6431,4753,127.14341,17.14491895,41.56907,53
Bermuda,North America,14135,135,13664,3.36,228537,2183,8.9398,144542,0.06185,0.000728667,1.31612,98.1
Bhutan,Asia,5957,21,59491,0.58,75651,27,2.3369,2925573,7.87432,2.539552985,19.09762,67
Bolivia,South America,96146,21943,863665,25.38,7574,1833,27.5422,22625,119.69554,0.044828528,137.73106,70.3
Bosnia And Herzegovina,Europe,377511,15778,,0,116414,4866,176.7199,544957,32.42823,23.36536164,4.02573,78
Botswana,Africa,36324,269,3326,0.68,125541,112,22.6898,83683,0.24437,17.61479127,16.53954,69
Brazil,South America,368294,66492,2971842,2987.72,14246,387,6377.6166,296119,215.37353,0.000000169,1761.64186,75
British Virgin Islands,North America,6573,62,,0,214762,226,1.3637,3386166,0.00366,0.0000423,0.41104,94.5
