country,continent,total_confirmed,total_deaths,total_recovered,active_cases,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,GDP,people_fully_vaccinated,HDI
Estonia,Europe,573922,2556,514836,5653,43216,1924,334534,251871,1328196,37191166152,861574,0.89
Ethiopia,Africa,47937,751,455757,767,3916,62,4836364,4214,12265111,111,3746534,0.5
Faeroe Islands,Europe,34658,28,7693,26937,7432,569,778,1581116,4929,,4407,0.95
Falkland Islands Malvinas,South America,1126,,,,36896,,8632,2352685,3669,,4407,0.874
Fiji,Australia/Oceania,64773,862,62875,136,71293,949,51773,569817,98543,42963459,641174,0.73
Finland,Europe,16974,4284,,,192512,771,18328,1949355,555675,297,12080311,0.94
France,Europe,291682,147257,28156674,856871,444914,2247,27149188,414221,6554252,296,53188,0.9
French Guiana,South America,81784,397,11254,7133,261212,1268,631628,217375,31394,,84507,0.793
French Polynesia,Australia/Oceania,72821,649,,,256473,2286,,,283932,654676735,453259,0.793
Gabon,Africa,4768,34,47297,7,249,131,1594523,686256,2323511,2216843174,566886,0.71
Gambia,Africa,11999,365,11591,43,4718,144,155686,6122,254354,,539186,0.5
Georgia,Asia,1655221,16811,1637293,1117,416417,4229,169279,4256722,397498,18629365597,2898265,0.8
Germany,Europe,2578226,137919,239567,168567,35877,1636,122332384,145145,8428288,426,6356347,0.94
Ghana,Africa,16128,1445,159788,47,4996,45,244226,75655,3228617,7759427955,117298,0.63
Gibraltar,Europe,18129,12,16579,1448,5384,329,534283,15867278,33672,,119855,0.961
Greece,Europe,3392575,29547,33614,5714,328475,2861,81233888,786529,1328255,215,764582,0.89
Greenland,North America,11971,21,2761,9189,21191,369,164926,2895826,56953,,79745,0.786
Grenada,North America,16344,221,14634,1489,1448,1947,157363,1386531,113494,11228747,3934,0.8
Guadeloupe,North America,1413,854,225,13726,3515,2134,93839,2343627,4251,,164325,0.853
Guatemala,North America,851877,17792,831794,2291,45966,96,4543522,245163,1853267,8598575217,7115784,0.63
Guinea Bissau,Africa,8222,171,81,41,42,83,136655,66512,254599,,562717,0.483
Guinea,Africa,36597,442,36113,42,2653,32,6617,47848,13795931,1691817842,4725982,0.47
Guyana,South America,6384,1228,6231,275,8396,1547,6196,76977,793621,84449881,911504,0.71
Haiti,North America,3713,835,2965,273,2634,72,132422,11356,1166141,2944392615,29241,0.54
Holy See,Europe,29,,29,,3625,,,,85,,29,
Honduras,North America,42439,1896,132358,281136,41615,168,136556,133856,1197959,2848866832,584631,0.62
Hungary,Europe,199948,46343,1821435,4217,198649,482,11394556,1185122,9614673,182,16530488,0.85
Iceland,Europe,186545,12,,,54134,347,22644,6555338,345368,256241921,,0.96
India,Asia,43121599,524214,42579693,17692,3686,373,843836914,6479,14527333,318,951963793,0.63
Indonesia,Asia,65776,156458,5889534,4784,21694,561,97245391,348662,27891317,119,415385585,0.71
Iran,Asia,722851,141224,72835,65992,8452,1642,51771715,6231,8599595,,149957751,0.774
Iraq,Asia,2326458,25216,2299985,1257,5552,62,18529376,442197,4192979,279,18353783,0.69
Ireland,Europe,1535451,723,1499879,28369,34622,1429,12144747,249429,5459,542,461875,0.95
Isle Of Man,Europe,28416,15,26794,1517,33915,1223,15753,1755575,85871,,189681,0.849
Israel,Asia,416793,1749,48115,14894,4436,1153,41373364,4436346,9326,489,6159588,0.92
Italy,Europe,1757873,165244,15894511,998118,28291,2741,217853667,361354,6296265,218,47972619,0.9
Jamaica,North America,13198,2995,84883,4412,44211,13,131235,345445,2985238,14657586937,755392,0.71
Japan,Asia,8338211,339,7951587,356585,6635,239,5444181,41129,125755488,495,13365576,0.93
Jordan,Asia,1694216,1448,1678941,1227,16334,1352,1667254,164177,139178,45744271659,9951844,0.72
Kazakhstan,Asia,135636,13661,1291669,36,682,712,1157512,6323,19194987,197,20918681,0.81
Kenya,Africa,32426,5649,318142,235,5789,11,363986,64866,55976553,113,11944,0.58
Kiribati,Australia/Oceania,393,13,262,478,25175,16,,,122862,273125,147497,0.62
Kuwait,Asia,63274,2555,629114,45,1444,582,871763,183943,4388186,,3345262,0.83
Kyrgyzstan,Asia,2993,2991,19646,1596,29889,445,197195,283613,6724638,,1376654,0.69
Laos,Asia,29386,754,,,2822,11,1232128,164896,7472169,,1836,0.607
Latvia,Europe,825699,5798,816253,3648,446957,3139,7217715,3975,1847378,398535158,2892440,0.86
Lebanon,Asia,197956,147,184853,2696,162215,1538,4795578,78511,6768532,2313194281,5634462,0.71
