country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,GDP,HDI,people_fully_vaccinated
China Hong Kong Sar,Asia,12856,9361,,,5,1588,123,44972952,599516,76126,,,
China Macao Sar,Asia,82,,82,,,123,,5375,873,665819,,,
China,Asia,22184,529,21454,6141,383,154,4,16,111163,1439323776,1.77E+05,0.77 ,
Colombia,South America,695316,139821,5928829,26666,342,117459,2694,34675581,668214,5189295,3.14E+05,0.75 ,3696.3551
Comoros,Africa,81,16,7933,7,,8959,177,,,9491,129689633,0.56 ,
Congo,Africa,2479,385,2178,3516,,4172,67,347815,627,577949,,0.57 ,
Cook Islands,Australia/Oceania,541,1,5291,118,,37491,57,17469,992895,17594,,,
Costa Rica,North America,866164,8444,841683,1637,48,167189,163,441922,849668,518753,64282438667,0.81 ,434.1182
Cote D Ivoire,Africa,81989,799,81168,22,,2971,29,159861,54716,27594347,,,
Croatia,Europe,113145,1593,111145,4115,15,278811,3925,4838151,1192212,45813,689558328,0.86 ,232.142
Cuba,North America,114589,8529,195534,526,23,97633,754,1292253,1141997,11313741,,0.76 ,11.1196
Curacao,North America,4317,275,4223,539,3,26168,1663,496693,3416,165343,2699612458,,
Cyprus,Asia,477711,132,12437,35239,6,39374,843,9477138,7744481,1223728,2847867534,0.90 ,
Czech Republic,Europe,3915847,4245,3871654,3948,14,36441,3745,55323981,5148342,1745981,,,
Democratic Republic Of The Congo,Africa,8723,1337,593,34756,,92,14,84674,8948,94629737,,,
Denmark,Europe,2976667,6287,296386,9994,12,51561,178,127345763,21842472,58319,3.98E+04,0.95 ,474.6322
Djibouti,Africa,15631,189,15427,15,,1544,186,35941,31492,114756,3482987379,0.51 ,34.9268
Dominica,North America,12685,63,12323,299,,17543,871,194894,2694921,72319,554181481.5,0.72 ,
Dominican Republic,North America,58412,4376,575583,453,1,52524,396,335829,299156,11551,94243453937,0.77 ,68.8554
Ecuador,South America,872268,3567,,,759,488,1963,24717,136158,18141962,1.62E+04,0.74 ,1424.587
Egypt,Africa,515645,24613,442182,4885,122,4868,232,3693367,34867,15928386,,0.73 ,4195.852
El Salvador,North America,16289,4129,15662,7298,8,24757,631,195448,29798,6547158,2873694,0.68 ,
Equatorial Guinea,Africa,1591,183,1571,26,5,1687,123,317211,21368,1488778,1226939284,0.60 ,
Eritrea,Africa,9745,13,9632,1,,2679,28,23693,6513,3637828,,0.49 ,
Estonia,Europe,573922,2556,514836,5653,3,43216,1924,334534,251871,1328196,37191166152,0.89 ,86.1574
Ethiopia,Africa,47937,751,455757,767,8,3916,62,4836364,4214,12265111,1.11E+05,0.50 ,3746.534
Faeroe Islands,Europe,34658,28,7693,26937,5,7432,569,778,1581116,4929,,,
Falkland Islands Malvinas,South America,1126,,,,,36896,,8632,2352685,3669,,,
Fiji,Australia/Oceania,64773,862,62875,136,,71293,949,51773,569817,98543,42963459,0.73 ,64.1174
Finland,Europe,16974,4284,,,21,192512,771,18328,1949355,555675,2.97E+04,0.94 ,
France,Europe,291682,147257,28156674,856871,1329,444914,2247,27149188,414221,6554252,2.96E+05,0.90 ,5318.8
French Guiana,South America,81784,397,11254,7133,1,261212,1268,631628,217375,31394,,,
French Polynesia,Australia/Oceania,72821,649,,,7,256473,2286,,,283932,654676735,,
Gabon,Africa,4768,34,47297,7,,249,131,1594523,686256,2323511,2216843174,0.71 ,
Gambia,Africa,11999,365,11591,43,,4718,144,155686,6122,254354,,0.50 ,53.9186
Georgia,Asia,1655221,16811,1637293,1117,,416417,4229,169279,4256722,397498,18629365597,0.80 ,
Germany,Europe,2578226,137919,239567,168567,1279,35877,1636,122332384,145145,8428288,4.26E+05,0.94 ,6356.347
Ghana,Africa,16128,1445,159788,47,1,4996,45,244226,75655,3228617,7759427955,0.63 ,117.298
Gibraltar,Europe,18129,12,16579,1448,,5384,329,534283,15867278,33672,,,
Greece,Europe,3392575,29547,33614,5714,176,328475,2861,81233888,786529,1328255,2.15E+05,0.89 ,764.582
Greenland,North America,11971,21,2761,9189,4,21191,369,164926,2895826,56953,,,
Grenada,North America,16344,221,14634,1489,4,1448,1947,157363,1386531,113494,11228747,0.80 ,3.934
Guadeloupe,North America,1413,854,225,13726,19,3515,2134,93839,2343627,4251,,,
Guatemala,North America,851877,17792,831794,2291,5,45966,96,4543522,245163,1853267,8598575217,0.63 ,711.5784
Guinea Bissau,Africa,8222,171,81,41,6,42,83,136655,66512,254599,,,
Guinea,Africa,36597,442,36113,42,8,2653,32,6617,47848,13795931,1691817842,0.47 ,472.5982
Guyana,South America,6384,1228,6231,275,,8396,1547,6196,76977,793621,84449881,0.71 ,
Haiti,North America,3713,835,2965,273,,2634,72,132422,11356,1166141,2944392615,0.54 ,29.241
Holy See,Europe,29,,29,,,3625,,,,85,,,
